day_of_week,hour_of_day,temperature,precipitation,event,traffic_density,population_density,public_transport_capacity,demand
Saturday,15,24.104402981636024,22.169000718959385,None,0.2879453426759925,3237.443961519757,58.73906424374669,285
Tuesday,10,15.232410798162013,30.3544789359377,Holiday,0.4928195845328246,5845.554813582619,93.7371824828283,330
Thursday,18,16.448937755891176,31.565377654599438,None,0.29994206977702265,9929.220755307244,86.8715720713561,154
Friday,14,22.849871128133696,29.584858115316276,None,0.596081955238306,8717.775469767314,62.64187003451446,439
Monday,22,24.59877669434247,35.13168865427582,Concert,0.4338439228552442,1876.3020441209899,53.364230646075725,424
Thursday,22,27.000410962386074,11.871673418740315,Holiday,0.16440552907887873,7357.347971289964,63.3998633442189,211
Tuesday,15,20.833251574186065,25.618188877289533,Holiday,0.11658307455569672,4110.216272837317,95.61041183907628,240
Saturday,10,28.89963772253085,5.211240140417384,Sports,0.5466956820721302,1062.840356923133,81.65893374478861,58
Friday,21,32.202447943784094,19.22556638224063,None,0.9024130332861034,4631.328721242997,86.05273304489359,109
Thursday,15,30.597019777866997,24.38335343106322,Concert,0.34395768655768555,3112.7897955247417,62.857617555454794,430
Monday,7,15.792376506967143,32.611212977273624,None,0.7330001072226232,8369.823434684244,85.96940777874102,354
Monday,3,24.610138945156578,47.526552629310174,None,0.658661354939767,4035.9754796118896,51.40607531389619,274
Wednesday,7,17.098603568363497,30.032553327417794,Sports,0.931554914309481,8447.713245584353,68.76606728865069,356
Wednesday,3,19.84090031725055,37.17969580882799,None,0.8209810172991409,1005.3814495131578,81.33766742711656,237
Sunday,23,34.73325186534293,25.313302974760138,Concert,0.566605258905463,3770.372350235072,57.30482827706601,119
Tuesday,2,17.849910858030263,31.705201568816566,Concert,0.6570304982341073,3170.4869287698575,91.15017872234674,342
Thursday,2,24.97776306902712,3.5466108066886717,Sports,0.8983864665840349,3102.1062496174986,61.751564940595934,336
Thursday,17,27.36311468636238,12.719579042092349,None,0.3995187845869348,1613.6795778891642,82.61405564092232,218
Sunday,18,29.049299410882078,18.092654660256933,Concert,0.32679470585777737,2684.1184336945153,70.25985712876648,111
Saturday,18,26.192973669738283,23.624667750325678,None,0.010811083635196339,5999.946128970579,79.80217977388236,398
Saturday,20,15.195416948383674,2.282437275119187,None,0.8265510741914642,3622.2496555397,55.37252763144541,491
Sunday,4,21.529226164879837,7.001204877665884,None,0.8009807004033649,4756.553040962332,50.845639996080365,63
Saturday,17,25.35423286769423,13.84071538956529,Sports,0.10445451810015138,4391.801923124696,95.47822136901506,213
Wednesday,9,16.757329982896668,48.576634545052535,None,0.5768573811327002,8883.144324999052,63.48150043835914,469
Thursday,21,22.012538624183616,16.567350355152538,Concert,0.4639816981668874,9147.69099109464,90.98385013902296,294
Sunday,20,15.66406217582733,24.102052905604125,None,0.11870909550911146,5436.612744902741,99.96751502361002,384
Thursday,5,16.571569943100414,9.804885636919646,Concert,0.9805682270607236,3971.4035528404397,60.57156289994556,57
Monday,0,22.93846552403192,30.53900355378841,None,0.21469588746335544,1961.2063360212728,63.25853705916778,203
Wednesday,4,17.654315080861206,14.034160775798716,Concert,0.06723418009056115,9580.625914438855,83.14298938173329,85
Friday,8,26.35081696523116,10.349628921921338,Concert,0.5948473795019096,1542.042504102677,98.27243173003106,97
Wednesday,11,28.789299382745313,25.828631422298955,None,0.7388666771330327,3678.8524981145238,95.7907174095372,134
Sunday,13,31.011733982181656,0.27528995802104106,None,0.03244344604718696,3682.5958105300374,75.14377600327924,77
Friday,1,19.0030048848962,0.3832016324612664,Concert,0.6587176387270222,3883.611575261934,89.75551412633624,245
Monday,16,18.349651645181396,10.953440455092888,Holiday,0.5322918759514544,2478.5815894516836,56.787292654995056,495
Sunday,13,17.091356806688005,1.836068125041057,Sports,0.10326500887504841,8048.452878313275,98.87190921020061,257
Tuesday,12,27.728604990872732,5.401287706534569,Holiday,0.17252387694636206,2102.480757693903,98.21766170179933,253
Thursday,8,29.129514529738024,16.94303246693758,Holiday,0.5679742973160805,6714.159932378465,58.186447893958544,356
Monday,14,15.63172289651284,40.12928397899064,None,0.2963576135132884,2114.6142403523572,64.97115624015532,153
Thursday,21,33.7242449248738,28.602432168465043,Sports,0.9383157286513161,1634.8207383366089,55.00774987533835,279
Saturday,14,16.03942567302945,25.63338629782082,Holiday,0.8187402294840508,9184.865533172888,63.58587994490898,475
Tuesday,23,25.82592670602141,14.674441160406083,None,0.983567206513663,2711.158896868351,90.79778947076034,150
Tuesday,10,29.18121038901833,46.587685971640816,Holiday,0.259670838950414,8391.251391037338,68.91578035826298,78
Monday,15,32.41938247492171,19.850752061859584,Holiday,0.969723632797977,5901.677839964223,54.41984835733792,176
Tuesday,16,29.281738642648556,4.354638339788575,None,0.43123386979155787,1700.7086764789265,67.11127623894522,387
Friday,3,31.034561661395838,30.853325805890066,None,0.3475187953137546,9599.033722942608,99.069166712064,59
Tuesday,0,21.78900385085612,5.69191967383007,None,0.05034952696935324,3222.650502927033,81.48417976296014,155
Thursday,7,31.296502274930244,17.261157140084606,Sports,0.05276525785960262,8736.808108173458,70.80804732030789,216
Thursday,16,16.6022969276935,25.370596935890443,Holiday,0.6920112559466547,2519.2900520610774,58.3269256748635,306
Sunday,2,32.89633312121055,43.71112623425879,None,0.4579289944340279,8685.485939276676,99.30883986418473,344
Thursday,19,25.951847523074726,24.677329017005935,Concert,0.2265216260361057,1119.0593161476459,91.04245046315643,326
Sunday,14,31.345955399249874,35.11293830158321,Holiday,0.6139703063252326,5606.0241091253265,64.07386512254597,114
Thursday,14,24.046365690366002,49.64084194995352,Concert,0.2528581182501112,7924.9832147940115,53.50343478605947,320
Friday,23,27.871553903930497,6.574455994899081,Sports,0.5776317543444226,9413.15965743505,52.831277868877905,437
Sunday,21,25.528053218722263,13.736576275975976,None,0.35920874698269034,9182.819225858384,56.01890747527669,237
Wednesday,13,29.631790435106637,19.72880377988232,Concert,0.823552226611819,8376.623825928804,79.03842918072108,366
Saturday,22,16.63259964061179,21.09140892694157,Sports,0.8206961607667793,8993.722146951737,96.43817106027461,453
Monday,13,16.207041679811276,20.551053763277288,None,0.4773503981224013,2792.9771725336886,74.83717140029923,187
Thursday,23,19.94206468020293,45.380550127827746,Concert,0.3508191093350156,3557.658661405559,92.14727412280986,392
Tuesday,1,18.190893602263767,35.70163222334282,Concert,0.36255979655909454,3600.7167242895266,72.2943309929904,154
Thursday,12,32.435671331844034,30.395260704535186,Sports,0.8057145256682179,4393.485379015289,85.42917728839126,83
Tuesday,13,19.384279747160885,15.468635893139105,None,0.328179482797612,4539.886033466699,86.59363686432505,429
Saturday,23,34.51730511638263,41.189519211064734,None,0.20905937370684602,5900.99792189208,58.69818529516694,159
Saturday,18,21.737915835422136,47.75302557424945,Concert,0.08468834187530683,2438.9178702979725,68.06080294879058,481
Saturday,6,18.642358313773986,41.05991412751133,Concert,0.4666931208844084,7221.219974073903,81.8651078269012,82
Tuesday,2,30.79397014284958,0.07825525957364521,Concert,0.4821320989198419,2508.0988537405583,53.53483040921831,403
Thursday,14,28.17415551001752,31.82006850917035,None,0.8409087104029072,3792.776338940928,68.07700938814783,280
Saturday,22,24.96391432906278,2.5567690721050362,Sports,0.22123869644606398,5530.106175455387,76.73997331405963,366
Friday,13,26.107271018752627,12.880361016686093,Sports,0.3809912736683999,8167.965053711296,99.81122465223194,315
Sunday,10,29.384035565445277,2.9762350173885843,None,0.8084057388936909,7655.223099148546,73.72667813112204,231
Tuesday,14,19.569094826625975,30.189772647469386,Holiday,0.8236236107489735,6809.8092076947005,90.80283785571618,389
Tuesday,12,34.92667832113484,34.32949567463034,Sports,0.3846110759787682,2401.9593452215313,71.60336425333088,114
Thursday,17,34.49586324293566,5.724381903295256,Concert,0.4591240232866809,5923.408110540199,89.81953613098545,382
Tuesday,5,28.00651372693874,19.191944152248976,Holiday,0.3032858908492829,1787.0185161989689,79.77074008100541,50
Tuesday,2,18.990849018582903,22.8118254477771,Holiday,0.9325548784193121,4396.268591169857,94.32977207511992,182
Saturday,18,28.604564848625827,18.45265108804583,Sports,0.11864376574158031,4721.648772609633,70.5471276175055,129
Thursday,14,16.443968179583518,6.0512500242596525,Holiday,0.93374942300147,1358.3029550117844,80.21522099107395,320
Saturday,22,15.613050044116122,20.94738950937377,Holiday,0.6838664518353432,3465.8928952297465,81.50093403094137,290
Sunday,4,20.153657770224275,37.558902390420904,Sports,0.5315721526867312,9600.845205398404,70.86914709002366,77
Sunday,9,24.252459134786328,3.550383226662773,Sports,0.032659060784495875,9582.693470467206,57.21560218437408,272
Saturday,6,32.36545010816761,4.009000704095173,Holiday,0.4755961918220083,4170.943488272854,54.67797034561678,72
Sunday,16,29.54338139532616,17.73856459179921,Concert,0.4077481050027323,1387.9009805349165,50.83357752998165,158
Thursday,6,29.85413042399962,47.08628558094625,None,0.16121881197512256,2611.854453953634,93.67671321226072,156
Monday,21,23.50986668896151,33.428632336145704,Holiday,0.6564096035006569,4529.960140901861,61.823745611934726,194
Saturday,11,21.91869985093926,33.93349783362824,Holiday,0.9711509073682858,9530.017281723069,60.575337464088406,418
Friday,16,22.420775259692054,18.09599954189325,Concert,0.5621888110645251,2270.791571834664,86.80177002130327,403
Friday,12,34.752991274721154,29.68303956042692,Holiday,0.7147532764439458,7871.64259301391,66.00080565436959,446
Tuesday,19,15.80218382824965,0.5065592013871689,Holiday,0.06845045256601678,1978.1428543722286,75.30223462059183,447
Sunday,3,32.34062992244897,31.80480232047711,None,0.41766699581699473,9831.318196521492,58.12555326487281,188
Friday,9,26.57350817144787,45.66434737881184,None,0.11635848516449587,4434.548491982215,97.98728607309846,333
Tuesday,2,23.77230838379181,30.62867341724096,None,0.6127958355365104,7977.110850091504,92.57907000086186,347
Monday,8,29.50515320830273,43.68492967331725,Sports,0.9384821582141546,4083.3197453001862,93.18948114825017,148
Thursday,12,24.733378828494057,36.19865277330469,Sports,0.6617777324716385,6649.019894429278,70.33868742860025,366
Thursday,17,32.468464761633214,6.027920820184512,None,0.07680304831442153,2728.1447626603303,88.11806068535864,172
Thursday,14,33.01403728022517,45.12266536429209,None,0.35466620498508283,2314.189173672663,57.193807769489005,369
Friday,3,23.434418537469107,3.322192217788744,Sports,0.5506633794408515,9442.577256113182,50.430950129589014,336
Monday,14,20.536555944701032,26.69837362738819,Concert,0.4032077561332522,9258.825501139901,50.998646628901405,130
Friday,21,26.847006571867244,7.106856189672883,Holiday,0.8336440104751723,8987.220461915942,79.33008687022803,59
Sunday,1,33.24726691233382,0.5853305365452033,Holiday,0.8146710047099892,6628.9010514993415,72.76974526239704,57
Friday,14,19.21324378011333,21.10171300638195,None,0.6118310201032214,8274.413900946503,75.90076744542598,454
Monday,7,27.459331671269656,14.752035382707811,Concert,0.37345794513270525,1621.332432202374,50.37315702086097,254
Monday,7,27.63120440185041,24.30002468988015,Sports,0.25533637376324414,4013.1013770161126,71.13433098287129,364
Sunday,16,29.66226044830562,28.85999433672754,None,0.10587431821312931,3823.328122814406,85.90340806004303,483
Monday,11,17.631353702545198,2.1869536154473677,Concert,0.35489768348655404,6720.807897573519,72.13468509837179,246
Monday,18,29.31649929364177,6.150164756187282,Concert,0.4131725172077195,4203.619961235765,86.61096031561112,247
Thursday,9,33.18065041331282,27.93211982252127,Concert,0.6758229251040736,2336.561034793127,61.65094821984174,79
Sunday,8,18.593662177404838,17.158367658632912,Sports,0.6581598242975735,6368.203678721893,90.65710022408626,450
Wednesday,4,19.750866498477553,36.4586743774724,Sports,0.07010813964125695,8329.455286021734,79.42156202267262,69
Wednesday,5,34.42790188083279,32.614582429596986,Holiday,0.3952593154311578,4439.111450139759,60.53815497149531,97
Monday,19,18.619539054189794,42.28021814949534,Holiday,0.18177886721736192,2190.4184358863354,61.83602379269165,179
Wednesday,1,32.08770186739159,34.62464133346126,Concert,0.1568127053168057,2770.193775815407,81.40152322847685,342
Wednesday,23,24.845557128960696,21.496553869507405,Concert,0.8273021497372459,3137.349746524456,91.49697966062217,434
Monday,12,19.94462148806354,33.64833111972162,Sports,0.04191521671625753,3699.078336950826,70.78138910145776,181
Wednesday,5,32.41499802545023,13.769058712770926,Holiday,0.41918287590212133,6785.155634556782,62.91502145637961,405
Friday,4,23.90610510005331,15.315674938910634,Concert,0.1682036557665182,6408.509360839471,93.35058034553002,103
Tuesday,0,25.296347078593804,39.44925799603966,Holiday,0.879330215678474,7264.718754103353,83.46341458754175,427
Sunday,20,22.18466738799531,22.32097582007911,Holiday,0.5570405132750351,4262.517860783619,72.40427436415382,330
Tuesday,21,26.85901702869855,39.919017025917626,Concert,0.23138063637684803,8415.978866919806,74.39500976396509,436
Monday,20,18.270477451700454,41.12111868341392,Sports,0.5024272871663764,2836.788950401842,60.21282339681982,314
Thursday,5,22.821630733035214,42.87811688306419,Concert,0.7314863597031158,5221.366727663385,81.34013150324219,264
Sunday,5,34.38824644670575,45.83176179206036,Concert,0.9581180089194338,8208.448493872873,67.93712552714443,339
Monday,22,20.16266865402255,21.549261025664812,Holiday,0.22044600424541894,2621.4278295935733,99.78225883371746,92
Thursday,15,28.134733290825842,15.943340916056941,Concert,0.8861817721293451,1988.7680236670467,74.00917576309439,123
Tuesday,3,21.503801284493896,29.109937329705694,Sports,0.9343041141674903,8953.155709191908,74.29428030948065,399
Monday,10,30.46946251373201,18.558621171881377,Concert,0.9164205445320662,4086.366964832763,78.29258937053359,327
Sunday,23,17.617473214366996,30.05370834001165,Sports,0.6354143568619098,7154.831124181288,95.83780015593734,375
Sunday,22,34.39642090157089,35.27929313219123,Sports,0.6298206544347077,1228.1374383754464,90.04090499298752,291
Saturday,8,24.075790827672783,34.42025092460684,Holiday,0.4032106331838228,7210.421995685047,72.55650348989207,179
Friday,22,19.72100926692928,18.727644351006067,None,0.7523978823037879,3844.9118039227346,85.9349632986398,399
Wednesday,2,16.469934946600254,8.34301008493764,None,0.5312940183509319,1501.6676822869756,79.31177493903809,243
Thursday,18,18.395158101750816,21.526466923110377,Holiday,0.6774380712282945,6488.314853933053,74.61835243506245,81
Saturday,7,25.395478971120355,7.129707204095437,Concert,0.42845790384879545,3167.234344658559,59.61578863921753,155
Wednesday,4,21.740063528625726,44.504851759190416,Holiday,0.7314964640431391,4481.26517846692,73.19681317274454,449
Wednesday,3,31.57766731765219,17.29387303689287,Sports,0.8244715176045491,1725.2273105786223,62.29092935112873,253
Monday,23,23.617750473236118,7.722987361166189,None,0.14643625660281612,2324.469259854508,95.74210749258273,50
Wednesday,5,19.9742854517526,1.2723879952875439,Holiday,0.832929715574228,3681.795119462594,66.77034067481735,294
Friday,1,27.342899732080603,32.29111931432421,Concert,0.5402965317903072,1807.8355050414143,97.61320072666862,121
Sunday,19,29.135544337708914,31.84511587273716,Holiday,0.8446659090902243,9197.436382176837,76.65276450473556,481
Saturday,10,18.340838158018997,17.030208329064582,None,0.4313017063410146,1054.4233886558059,81.57721893380801,355
Wednesday,3,18.35238432576635,3.5855944423825505,Holiday,0.37904048538303503,5354.741969778803,77.14702222446638,446
Monday,14,15.733428538670859,20.4814447447616,Holiday,0.9150607325172224,2109.227123192963,56.469030848335045,64
Friday,5,29.72804030131281,15.56087475316968,None,0.2511692675484013,3769.1118053015366,68.79106095039705,102
Tuesday,21,28.276090552436102,33.856031986750466,Sports,0.8442123252861431,9334.53603836439,54.957305613881196,477
Sunday,16,24.492617514996276,30.288962472634516,Sports,0.4840205725094041,2455.2509794658818,81.14770220916908,57
Sunday,23,31.883408979383944,18.229686409877,None,0.5140954425512597,9692.490877464994,72.34370976002194,379
Saturday,5,31.113403059001065,10.894627712749505,Holiday,0.308468281489484,2852.1493929047956,88.89924857854683,95
Sunday,18,26.707087287935042,49.40179830777959,None,0.5730422006190157,7674.094976201466,61.02352404996849,374
Wednesday,1,32.36542561026518,22.700081059805743,Sports,0.3252111962762113,5920.095384075806,58.22830292146675,163
Monday,14,19.116824200735365,34.413711789011856,Concert,0.03926941424165231,8960.308548370833,70.31661154818839,196
Sunday,10,17.23839238795456,7.027648378918039,Holiday,0.27199860534435605,5985.939299528179,96.32926916091905,215
Sunday,7,20.394992230339792,24.27948498296989,Sports,0.006379043406590679,5811.032972406778,85.52109075062059,428
Tuesday,18,16.141737121786296,1.3768359934732743,Holiday,0.9783547870568566,2759.1220033155987,70.94618123964594,188
Tuesday,12,25.62339056002064,25.272755895522497,None,0.9657472098197475,2496.0642584649286,75.86360848771552,166
Thursday,11,33.73211384589923,48.200870355885115,Concert,0.39515529747230504,9248.402360039629,54.210650558854915,348
Friday,4,15.786870813370193,19.210335649290013,None,0.728370854339646,3950.5437896503067,99.22879481880565,325
Wednesday,5,17.442198280200536,1.9498006287455794,Concert,0.345806098410425,4348.740294666063,83.32036523474595,453
Sunday,21,24.043980565668704,1.5477895459671764,Holiday,0.671093157085976,7838.412925855496,64.27020342317113,326
Sunday,3,33.6775003505581,19.399337997343473,Holiday,0.8054300430459791,4049.411341805266,79.29041971076222,387
Monday,18,21.32312209953501,8.001246823159702,None,0.9467562446922407,9568.562019751025,55.4741183034497,362
Thursday,19,25.144696173767848,1.1676048164092956,Concert,0.400212275849672,7641.3499209892025,98.29183344037918,227
Friday,0,15.831457181007842,37.81068069750884,Concert,0.7832979829560477,6376.86318316078,58.7392493941683,379
Thursday,19,17.966864019241775,22.926150444094535,Holiday,0.2659284506321188,8928.056444902773,82.4015159027607,403
Saturday,16,34.73260245917694,14.462238598632727,None,0.9903323037936483,1446.4531751453446,62.272723126946524,203
Friday,11,34.30237392872091,45.00415915082404,Concert,0.025769598764351143,3313.5642297028785,85.87806913242679,463
Sunday,14,15.098799618688192,5.8069480100262805,Holiday,0.603528806501121,5185.3270079881895,88.84106836201406,250
Sunday,0,34.03623570846478,47.79594144776596,Sports,0.6595059816513271,3042.806855243689,83.67098644557163,415
Friday,13,27.78239875631001,15.698335868867641,None,0.6880455570741288,7695.146685719367,80.72497301275962,164
Sunday,5,32.35836589040044,44.42018361543406,Sports,0.12038757878908901,9272.872279483527,94.62345469760058,208
Wednesday,4,24.09479711267718,30.147143823973078,None,0.9385297834731304,4813.931079378311,53.931335549487905,91
Friday,10,25.311920571585006,41.33536798707437,Holiday,0.1811832790500828,4079.1934010070545,66.54573828900976,296
Thursday,3,24.776931605138405,49.20065816052321,Concert,0.6227534032398411,9653.956589238096,62.4143739815423,117
Friday,12,28.337285150922085,14.420271890937286,Concert,0.22267607912308496,5003.671895447867,99.40069810327108,494
Sunday,10,17.793025095126257,48.05677427037965,Concert,0.3072164170212709,5401.435604043549,69.46948898334367,494
Wednesday,2,15.599471797453559,19.47409474512102,None,0.5464585417281244,4164.848851077148,86.63063496201994,375
Wednesday,0,21.158598831823817,19.275595236846115,Holiday,0.4171934185645765,9185.936257109246,84.23625819405024,383
Saturday,5,29.093615254732935,17.019355212725284,Sports,0.1602256009765063,6120.5993495366565,60.604061873868886,245
Thursday,17,19.037069042458967,27.07038036737926,Holiday,0.1709364024208483,7859.5712846348015,61.94988401057756,139
Tuesday,23,28.468648666498346,7.707252158924355,Sports,0.41814478816279965,8306.260465157977,64.0642281776517,160
Tuesday,9,34.398240922145405,27.68557426790056,None,0.7572829782755007,4076.6413772553237,70.55636391296896,417
Friday,4,16.878014315788366,27.0852406205002,None,0.8979646468477885,4903.24898188342,61.71625328252634,408
Saturday,22,28.452042364502525,38.0950906302435,Sports,0.08412766225938284,8636.245969656382,50.98257413734239,194
Monday,9,23.875004386091423,41.68249809687928,Sports,0.39310390755940106,4269.298165082292,93.96965284035977,324
Friday,11,32.362845087550106,22.022067515621202,Sports,0.10024556372287663,8145.416201066661,98.2804915690442,228
Saturday,1,18.542995788947717,15.116662467574688,Holiday,0.016592480632597884,9468.930903169934,67.0785193515784,290
Thursday,12,28.85251904452329,12.966744865854723,Sports,0.6617186826439566,6608.893357612063,66.92534397127365,375
Thursday,7,31.762305792962206,9.731191835243596,None,0.6024494419665878,7674.645587067,50.35459063871855,368
Thursday,1,33.892284389480466,2.882379109951244,None,0.1630191138148862,8245.875808370214,84.0125344165187,380
Thursday,19,28.664960565792917,17.122398941735668,Concert,0.2338128330930641,8605.356840069782,91.27199478743144,463
Thursday,0,24.94349528016855,13.512384606539163,Sports,0.02370775364451838,4555.480040711163,57.33041501800016,202
Saturday,4,27.356944804024277,48.32086929332037,Holiday,0.8349472056944037,1461.3711325839836,57.98331746835754,153
Saturday,8,32.37809968957436,27.885441312502195,Holiday,0.9746905960485515,4616.886441130656,89.50416249857189,124
Wednesday,16,26.412194932776593,17.363851951525376,Holiday,0.1354595367946908,7063.806068056808,80.81453741770723,177
Tuesday,8,15.607741193936738,29.0233800496848,Concert,0.23147521376529812,5053.153472027136,52.24302788138585,248
Sunday,10,33.61897391013956,6.959835067284775,None,0.868409523946934,7740.668357743587,81.12734952311408,203
Thursday,14,28.790535020631225,22.202187460110146,Holiday,0.9264637979561848,4212.841865217975,65.4458861421883,105
Monday,23,28.53026771554493,31.31171607105319,None,0.41962738280681033,6712.697269936266,68.4362577735423,327
Sunday,5,19.31350304795434,24.444891589622568,Concert,0.050622472269074126,2677.7782436857715,88.48657091484401,394
Saturday,22,28.177709404653143,20.088940032716213,Sports,0.0393918336928194,7744.324929804612,90.54675963363053,68
Monday,2,22.877288113083168,49.69241944498491,Sports,0.5739498660690104,5911.263719317232,70.01783134199152,208
Monday,16,28.02465954082984,44.01573810744635,Sports,0.392895108893179,2836.5794969194053,97.35764680031774,75
Monday,4,17.131860606159815,31.170297907972007,Holiday,0.028652427577654516,3627.200561480265,70.3231358976036,475
Wednesday,11,28.156906092060723,28.46886805911414,Sports,0.5832523923125568,7737.478377236492,88.5918017615055,218
Saturday,17,34.98827451541333,31.033023991229204,Holiday,0.011302536589022472,5343.411120953686,74.19386322821296,72
Monday,13,15.96424077721112,10.065605391121663,Concert,0.787371958149273,2944.28296353765,94.8766163261042,96
Thursday,20,34.54348368442635,19.75688716321593,Concert,0.3064328227033716,9705.440713332679,95.38806218250893,62
Friday,23,23.13815921445741,1.972976644544966,Holiday,0.0402580030092321,7436.125178351991,54.37084039355419,266
Monday,10,32.415069006745185,23.777301874341333,None,0.5883522209831533,9614.213492858165,96.82466656551128,371
Wednesday,8,30.64770968116547,27.151229197883158,Sports,0.3976844144330547,4843.945408243089,91.27674207602078,243
Sunday,1,26.340325219733355,11.38748680516048,Sports,0.9738004133571495,5275.9030662254845,89.56553571563335,193
Saturday,11,29.768984185026532,48.201442358275685,Sports,0.5441986625037022,9081.596945665173,60.04556698427612,122
Wednesday,2,32.57031122602696,45.4727305468621,Holiday,0.2752391810370083,5725.444062208462,90.25596043773325,205
Monday,2,23.082806433020657,36.107161772795294,Concert,0.7094388646339748,7365.510207151005,92.50663673425184,126
Saturday,0,21.540663231264773,26.66933143826813,Sports,0.27149200254271133,3269.5558974597698,64.45751672270755,468
Friday,7,28.351867711271694,43.498457982384245,Concert,0.9042432914075651,5020.538218323765,97.61300391811619,218
Monday,21,31.15691883882517,6.532617191173146,Sports,0.37472197050737643,2111.048792293196,52.49300731995821,336
Wednesday,7,30.245702695532316,39.52548971374425,Sports,0.5498685627762052,2853.820322892655,57.495462662356985,134
Tuesday,10,30.956272977172688,6.241040698342415,Holiday,0.05057310382422886,1008.4907374086798,76.87905690257571,465
Thursday,8,23.71166629625866,39.71053312747027,None,0.4261212379522308,1353.385464837942,78.78962355611549,231
Sunday,4,31.35668432350043,13.788378412567848,Holiday,0.832363539660995,9795.554408592363,82.25750416504516,364
Wednesday,13,17.404181107412168,43.85452905090945,Sports,0.8056488053633419,3181.183256230861,50.848456465773324,346
Saturday,2,25.88978195921699,47.202104691269895,Sports,0.22431855885352625,6969.796385536018,98.01833873110651,161
Monday,20,15.115173209962432,7.439798470255782,None,0.22607907101056268,8551.897289196504,52.2294046367072,499
Thursday,4,21.491716598005404,23.133780253269677,Concert,0.8173053122132368,5955.944133129078,57.153097636170116,279
Monday,4,22.32923069742796,49.049368908134255,Concert,0.9303984201693255,2378.3005007556058,50.70072587630285,145
Saturday,18,22.923453832185107,24.17037179865733,Sports,0.09536092127300355,7553.047936025498,78.34292166470473,487
Monday,13,28.909344133797244,43.17737612572726,Concert,0.45005863942622526,6402.2626908962475,96.61334419604862,217
Tuesday,3,22.771162025406916,29.436576106565994,Sports,0.33745427896422897,7581.255304126375,83.29735830402322,427
Thursday,12,23.973872452450614,18.766495395980094,None,0.8706884554574393,7927.719605713784,91.13287342402137,205
Thursday,9,19.75088261748655,14.28917777629351,None,0.08352491468001877,9778.693309162705,50.664060172929005,470
Saturday,17,22.4650358325868,10.161154554304364,Sports,0.2111259425580374,6162.0695202403895,77.1007649239863,154
Sunday,7,19.545392545263027,38.08990956888486,None,0.7524683375864943,4074.7700142154163,72.97814887527609,242
Tuesday,7,16.46391847536887,19.327025341151394,Holiday,0.051293848981215584,6836.1810121021335,74.94839721103965,379
Wednesday,6,27.06897186762756,25.56377311003756,Holiday,0.49253538071428926,1615.9663831836351,53.6106592667594,488
Monday,7,28.364255971100327,24.616274000059096,None,0.44210703467972,9076.575864894276,84.22176805346538,181
Friday,13,27.389806920192292,28.863951461656562,Sports,0.33440117898874866,2074.4291020437713,75.16102074293173,404
Monday,18,24.26988087601145,43.27885728122761,Sports,0.3945723153189238,3950.5855409723645,88.2574424930632,431
Monday,5,22.595715603584594,49.03696717917147,None,0.5299405869302329,8341.708425635088,74.26453170308577,187
